metric,value
"Общая доля сульфидов, % площади",5.2093
"Обычные срастания, % площади",0.9706
"Тонкие срастания, % площади",4.2386
"Обычные срастания, % от сульфидов",18.6326
"Тонкие срастания, % от сульфидов",81.3674
