metric,value
"Общая доля сульфидов, % площади",4.5884
"Обычные срастания, % площади",1.8409
"Тонкие срастания, % площади",2.7475
"Обычные срастания, % от сульфидов",40.1205
"Тонкие срастания, % от сульфидов",59.8795
