epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,596.712,1.75344,3.00209,2.04836,1.80357,0,0.28607,0.31579,0.20973,0.07346,0.17275,0.23684,0.08561,0.03257,2.03636,7.85573,2.62825,2.24151,0,0.00162737,0.00162737,0.00162737
29,618.004,1.69183,2.87778,1.93838,1.65089,0,0.28607,0.31579,0.20973,0.07346,0.17275,0.23684,0.08561,0.03257,2.03636,7.85573,2.62825,2.24151,0,0.00168366,0.00168366,0.00168366
30,638.7,1.82178,3.13161,2.00767,1.80526,0,0.28839,0.39474,0.23942,0.10202,0.31751,0.28947,0.21126,0.081,2.08171,6.55314,2.65077,2.24343,0,0.00173968,0.00173968,0.00173968
31,659.266,1.76953,3.12211,2.06747,1.71894,0,0.29752,0.37907,0.26854,0.08719,0.59474,0.21053,0.25516,0.08218,2.1559,6.45472,2.66378,2.36284,0,0.00179542,0.00179542,0.00179542
32,678.961,1.78032,2.89605,1.90197,1.72074,0,0.38093,0.21053,0.212,0.09771,0.23037,0.34211,0.21611,0.07174,2.16449,5.7403,2.81154,2.34641,0,0.00185088,0.00185088,0.00185088
33,698.98,1.81009,3.1909,2.00587,1.77286,0,0.38093,0.21053,0.212,0.09771,0.23037,0.34211,0.21611,0.07174,2.16449,5.7403,2.81154,2.34641,0,0.00190603,0.00190603,0.00190603
34,719.385,1.83889,3.17491,1.96354,1.72974,0,0.26953,0.39474,0.25399,0.11457,0.28675,0.42105,0.30126,0.09024,2.0577,5.15186,2.87706,2.33259,0,0.00194147,0.00194147,0.00194147
35,739.311,1.70854,2.90507,2.06654,1.66173,0,0.34068,0.44737,0.28945,0.10105,0.28752,0.47368,0.2452,0.08154,2.04059,4.78462,2.83405,2.27818,0,0.00193791,0.00193791,0.00193791
36,758.738,1.85579,3.09324,2.02734,1.78971,0,0.28073,0.34211,0.18329,0.0741,0.28073,0.34211,0.18094,0.05411,1.86758,5.05125,3.36515,2.15593,0,0.00193424,0.00193424,0.00193424
37,778.875,1.78357,3.05403,1.96979,1.76704,0,0.28073,0.34211,0.18329,0.0741,0.28073,0.34211,0.18094,0.05411,1.86758,5.05125,3.36515,2.15593,0,0.00193048,0.00193048,0.00193048
38,799.781,1.73846,2.90697,1.86751,1.66851,0,0.17714,0.63158,0.16726,0.05947,0.18406,0.39474,0.15058,0.04396,1.9708,5.18063,3.84773,2.21188,0,0.00192661,0.00192661,0.00192661
39,821.541,1.72873,3.03577,1.83807,1.65669,0,0.24286,0.23684,0.1477,0.06412,0.18968,0.39424,0.15054,0.05862,1.9412,5.234,4.13738,2.32196,0,0.00192264,0.00192264,0.00192264
40,842.056,1.7547,3.02387,1.98527,1.76387,0,0.16679,0.31579,0.11885,0.05083,0.20702,0.39474,0.14102,0.04965,1.9488,4.75834,4.80998,2.25686,0,0.00191858,0.00191858,0.00191858
41,863.203,1.933,3.24032,2.10989,1.91353,0,0.16679,0.31579,0.11885,0.05083,0.20702,0.39474,0.14102,0.04965,1.9488,4.75834,4.80998,2.25686,0,0.00191441,0.00191441,0.00191441
42,883.928,1.78487,2.856,1.85065,1.69879,0,0.19695,0.44737,0.15914,0.06145,0.18402,0.42105,0.13343,0.05268,2.0597,5.11473,4.7186,2.25033,0,0.00191014,0.00191014,0.00191014
43,903.741,1.83753,3.1188,2.01269,1.76688,0,0.26902,0.36842,0.16964,0.06442,0.26902,0.36842,0.1418,0.05808,2.00389,5.69219,3.70353,2.1087,0,0.00190578,0.00190578,0.00190578
44,924.899,1.7754,3.00896,2.00507,1.76241,0,0.21741,0.36842,0.1595,0.05686,0.20278,0.34211,0.13224,0.04926,2.03105,5.2151,3.37736,2.10065,0,0.00190132,0.00190132,0.00190132
45,946.294,1.67585,3.14793,1.90675,1.67112,0,0.21741,0.36842,0.1595,0.05686,0.20278,0.34211,0.13224,0.04926,2.03105,5.2151,3.37736,2.10065,0,0.00189675,0.00189675,0.00189675
46,967.99,1.90539,3.22125,2.20307,1.83824,0,0.17615,0.36575,0.15792,0.04338,0.15996,0.28947,0.11351,0.03322,2.20174,5.11821,3.24186,2.36716,0,0.0018921,0.0018921,0.0018921
47,989.395,1.73324,3.00349,1.99067,1.67445,0,0.19887,0.28947,0.12862,0.04562,0.17361,0.26316,0.10501,0.03502,2.3676,6.128,3.14333,2.37223,0,0.00188734,0.00188734,0.00188734
48,1011.19,1.89577,3.34935,2.0513,1.87789,0,0.18009,0.15789,0.12409,0.05283,0.21367,0.18421,0.12152,0.03178,2.46244,6.80434,3.44219,2.4871,0,0.00188249,0.00188249,0.00188249
49,1033.19,1.63036,2.93346,1.9349,1.66118,0,0.18009,0.15789,0.12409,0.05283,0.21367,0.18421,0.12152,0.03178,2.46244,6.80434,3.44219,2.4871,0,0.00187754,0.00187754,0.00187754
50,1055.05,1.6991,2.75649,1.96247,1.63847,0,0.16508,0.13158,0.11231,0.04737,0.10403,0.21053,0.05784,0.02269,2.58813,7.33167,4.06834,2.47244,0,0.0018725,0.0018725,0.0018725
51,1077.06,1.6943,2.84205,1.83758,1.71467,0,0.08461,0.47368,0.1353,0.06193,0.36568,0.05263,0.07087,0.03267,2.46006,6.54524,3.61804,2.28108,0,0.00186737,0.00186737,0.00186737
52,1099.53,1.71388,3.11441,1.90359,1.66456,0,0.10663,0.44602,0.1513,0.06152,0.21573,0.10526,0.11752,0.04085,2.38412,5.79618,3.24259,2.29734,0,0.00186213,0.00186213,0.00186213
53,1121.57,1.74064,2.91248,1.93664,1.65458,0,0.10663,0.44602,0.1513,0.06152,0.21573,0.10526,0.11752,0.04085,2.38412,5.79618,3.24259,2.29734,0,0.00185681,0.00185681,0.00185681
