epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,4.7964,2.34775,4.68036,3.15016,2.05358,0,0.01625,0.55263,0.04146,0.01325,0.01084,0.36842,0.01242,0.00474,2.0554,4.34524,3.18039,1.8661,0,0.00032,0.00032,0.00032
2,9.93186,2.08641,4.20245,3.09898,1.84588,0,0.01506,0.47368,0.07115,0.02173,0.01172,0.36842,0.02017,0.00736,2.1253,4.28258,3.18751,1.92014,0,0.00049665,0.00049665,0.00049665
3,14.9625,2.25851,4.29568,3.06784,1.93757,0,0.01394,0.47368,0.08454,0.02707,0.01084,0.36842,0.03573,0.01202,2.05141,4.29271,3.2047,1.87595,0,0.0002575,0.0002575,0.0002575
