segment_id,class,area_px,area_pct,confidence,conf_sulfide,cx,cy
559,normal,860980,0.66558,0.9123,0.983,11069,3064
7,normal,222597,0.17208,0.5362,0.978,12999,352
4,normal,212138,0.16399,0.5469,0.9571,9112,227
1628,normal,183686,0.142,0.7907,0.9826,3107,7714
604,normal,179591,0.13883,0.7414,0.9803,12995,3053
1235,fine,176513,0.13645,0.5331,0.9623,10368,5076
1110,normal,175577,0.13573,0.5468,0.9658,3986,4644
1480,normal,146800,0.11348,0.8731,0.9756,224,7071
1426,fine,139816,0.10809,0.6211,0.9622,867,6515
1975,normal,117887,0.09113,0.5013,0.9582,4511,8900
219,fine,111867,0.08648,0.6544,0.9523,7210,1113
1650,normal,105931,0.08189,0.652,0.9736,787,7642
1683,normal,104066,0.08045,0.7148,0.9783,2279,7669
1331,normal,102396,0.07916,0.6558,0.9734,3812,5495
1472,normal,101310,0.07832,0.5941,0.9521,8042,6975
1903,fine,99571,0.07697,0.502,0.9609,4897,8505
1341,normal,99141,0.07664,0.5112,0.9619,9981,5646
922,normal,94134,0.07277,0.6937,0.9798,9615,3966
638,fine,76294,0.05898,0.6608,0.9542,1419,3034
779,fine,74770,0.0578,0.7325,0.9554,1921,3526
1536,normal,74156,0.05733,0.555,0.9733,1361,7266
1308,fine,71236,0.05507,0.7067,0.9596,2167,5438
568,normal,66052,0.05106,0.5151,0.9591,6918,2612
1793,normal,64759,0.05006,0.6433,0.9775,1182,8173
1485,normal,64400,0.04978,0.5485,0.9774,2320,7015
1859,normal,62612,0.0484,0.5666,0.9734,1681,8216
1350,fine,53017,0.04099,0.6111,0.9566,10675,5659
553,normal,51354,0.0397,0.7799,0.9759,13252,2535
649,fine,44318,0.03426,0.5895,0.9625,9617,2991
1976,normal,40266,0.03113,0.543,0.9708,7317,8746
1619,normal,39860,0.03081,0.7298,0.9765,559,7422
1406,fine,39671,0.03067,0.5423,0.966,5605,6240
1456,fine,37959,0.02934,0.7652,0.9609,2907,6752
1740,fine,35771,0.02765,0.508,0.9702,1382,7751
523,fine,34986,0.02705,0.7038,0.9565,1249,2372
